"id","collection_id","product_id","created_at","updated_at","position","sort_value"
48982911189341,652045156701,15230369661277,"2025-03-18T18:46:34+00:00","2025-03-18T18:46:34+00:00",39,"0000000039"
48982816162141,652045156701,15230374084957,"2025-03-18T18:29:28+00:00","2025-03-18T18:29:28+00:00",38,"0000000038"
48982802039133,652045156701,15230374281565,"2025-03-18T18:26:43+00:00","2025-03-18T18:26:43+00:00",37,"0000000037"
48982801645917,652045156701,15230375919965,"2025-03-18T18:26:41+00:00","2025-03-18T18:26:41+00:00",36,"0000000036"
48982801383773,652045156701,15230375035229,"2025-03-18T18:26:39+00:00","2025-03-18T18:26:39+00:00",35,"0000000035"
48982801187165,652045156701,15230373757277,"2025-03-18T18:26:36+00:00","2025-03-18T18:26:36+00:00",34,"0000000034"
48982801121629,652045156701,15230374609245,"2025-03-18T18:26:34+00:00","2025-03-18T18:26:34+00:00",33,"0000000033"
48982801088861,652045156701,15230374543709,"2025-03-18T18:26:32+00:00","2025-03-18T18:26:32+00:00",32,"0000000032"
48982801056093,652045156701,15230374707549,"2025-03-18T18:26:29+00:00","2025-03-18T18:26:29+00:00",31,"0000000031"
48982796960093,652045156701,15230371070301,"2025-03-18T18:24:59+00:00","2025-03-18T18:24:59+00:00",30,"0000000030"
48982733193565,652045156701,15230369792349,"2025-03-18T18:17:36+00:00","2025-03-18T18:17:36+00:00",29,"0000000029"
48982715335005,652045156701,15230369562973,"2025-03-18T18:17:34+00:00","2025-03-18T18:17:34+00:00",28,"0000000028"
48982449684829,652045156701,15230370808157,"2025-03-18T18:15:20+00:00","2025-03-18T18:15:20+00:00",27,"0000000027"
48982449619293,652045156701,15230370971997,"2025-03-18T18:15:18+00:00","2025-03-18T18:15:18+00:00",26,"0000000026"
48982449586525,652045156701,15230373495133,"2025-03-18T18:15:15+00:00","2025-03-18T18:15:15+00:00",25,"0000000025"
48982430875997,652045156701,15230373298525,"2025-03-18T18:10:54+00:00","2025-03-18T18:10:54+00:00",24,"0000000024"
48982430515549,652045156701,15230373593437,"2025-03-18T18:10:51+00:00","2025-03-18T18:10:51+00:00",23,"0000000023"
48982428057949,652045156701,15230375133533,"2025-03-18T18:10:04+00:00","2025-03-18T18:10:04+00:00",22,"0000000022"
48982427959645,652045156701,15230371463517,"2025-03-18T18:10:02+00:00","2025-03-18T18:10:02+00:00",21,"0000000021"
48982418227549,652045156701,15230371332445,"2025-03-18T18:07:05+00:00","2025-03-18T18:07:05+00:00",20,"0000000020"
48982410756445,652045156701,15230369300829,"2025-03-18T18:05:20+00:00","2025-03-18T18:05:20+00:00",19,"0000000019"
48982410723677,652045156701,15230372512093,"2025-03-18T18:05:17+00:00","2025-03-18T18:05:17+00:00",18,"0000000018"
48982392701277,652045156701,15230370480477,"2025-03-18T18:01:16+00:00","2025-03-18T18:01:16+00:00",17,"0000000017"
48982385951069,652045156701,15230371594589,"2025-03-18T17:59:48+00:00","2025-03-18T17:59:48+00:00",16,"0000000016"
48982384542045,652045156701,15230371266909,"2025-03-18T17:59:26+00:00","2025-03-18T17:59:26+00:00",15,"0000000015"
48982384443741,652045156701,15230370742621,"2025-03-18T17:59:24+00:00","2025-03-18T17:59:24+00:00",14,"0000000014"
48982384345437,652045156701,15230372610397,"2025-03-18T17:59:22+00:00","2025-03-18T17:59:22+00:00",13,"0000000013"
48982384247133,652045156701,15230373953885,"2025-03-18T17:59:19+00:00","2025-03-18T17:59:19+00:00",12,"0000000012"
48982384214365,652045156701,15230370185565,"2025-03-18T17:59:17+00:00","2025-03-18T17:59:17+00:00",11,"0000000011"
48982384083293,652045156701,15230370447709,"2025-03-18T17:59:10+00:00","2025-03-18T17:59:10+00:00",10,"0000000010"
48982383886685,652045156701,15230370611549,"2025-03-18T17:59:08+00:00","2025-03-18T17:59:08+00:00",9,"0000000009"
48982380216669,652045156701,15230370120029,"2025-03-18T17:58:05+00:00","2025-03-18T17:58:05+00:00",8,"0000000008"
48982376546653,652045156701,15230372217181,"2025-03-18T17:57:12+00:00","2025-03-18T17:57:12+00:00",7,"0000000007"
48982373204317,652045156701,15230371922269,"2025-03-18T17:56:10+00:00","2025-03-18T17:56:10+00:00",6,"0000000006"
48982373073245,652045156701,15227367686493,"2025-03-18T17:56:00+00:00","2025-03-18T17:56:00+00:00",5,"0000000005"
48982369829213,652045156701,15230369923421,"2025-03-18T17:54:55+00:00","2025-03-18T17:54:55+00:00",4,"0000000004"
48982333686109,652045156701,15230370054493,"2025-03-18T17:45:30+00:00","2025-03-18T17:45:30+00:00",3,"0000000003"
48982333587805,652045156701,15230373036381,"2025-03-18T17:45:28+00:00","2025-03-18T17:45:28+00:00",2,"0000000002"
48982332932445,652045156701,15230370316637,"2025-03-18T17:45:23+00:00","2025-03-18T17:45:23+00:00",1,"0000000001"